	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
PAX2	PAX2	PAX2	39/388	310/12383	9.22552536880942e-14	1.98768137491621e-12	2.47191110360444e-13	LOX/LSAMP/ATXN7L1/FOXP2/HOXB2/GPC3/MGLL/IGF2BP1/MBNL1/PLEC/CITED2/PHOX2B/DMD/HOXA10/NUP54/ESRRG/FOXG1/KCNQ1DN/SEMA6D/NTRK2/RTN1/NR2F1/HPSE2/PPP3CA/IGF1/OR2L13/DUSP4/EIF5/KLHL3/RBMS3/MLL/SESN3/PACRG/PCYT1B/ZIC4/APOBR/TRIM8/PTH1R/IP6K2	39
CDC5	CDC5	CDC5	35/388	256/12383	1.54475746180141e-13	3.05089598705778e-12	3.79414113424907e-13	FOXP1/FOXP2/SALL3/GPC3/MGLL/DLG2/MBNL1/CHD2/PIK3R3/ZNF827/CITED2/BTBD3/STAG2/PHOX2B/HESX1/BAI3/MAML1/ESRRG/ARHGAP44/TRPS1/GPR85/PROK2/TMSB4X/DGKB/PDZRN4/BAMBI/FGF10/FGF12/SMARCA2/SESN3/VDR/TMSL6/TMSL3/TMSB4XP1/FOXA1	35
E47	E47	E47	48/388	465/12383	2.27015170383149e-13	4.13866118313895e-12	5.1469026483629e-13	ATOH7/DSCAM/DRD3/FOXP1/DNAJB5/DPYSL5/EFNA1/VKORC1L1/PLEC/CITED2/BTBD3/DDAH2/STC2/STRN3/ZNF503/PRELP/MGAT1/MYO18A/BCL2L1/DAAM1/DMD/PCDH17/KCNQ1DN/ARSG/ARHGAP44/RAB5B/ZMAT3/ZNF710/KCNIP2/KIAA0182/ADAM12/CER1/HSD3B7/RUFY3/BCL9/AP4S1/TTC17/PDGFB/POU2AF1/BRSK2/DSCAML1/FGD4/FOXA1/BMX/UBXN10/NDUFS4/TRIM8/R3HDM1	48
FOXO1	FOXO1	FOXO1	44/388	413/12383	8.32778788055535e-13	1.40977551977973e-11	1.75321850116955e-12	SATB2/HHEX/TFAP4/HOXA2/HOXA3/ATXN7L1/FLJ45983/NTN1/FOXP2/SALL3/MGLL/SSBP3/CHD2/POU2F1/FST/PHOX2B/PMCH/ZNF238/ROR1/HESX1/DMD/HOXA10/LHX9/IL1RAPL1/ESRRG/PCDH18/FOXG1/SEMA6D/H3F3A/ZNF654/NR2F1/ANKRD28/BUB3/CSRNP3/C15orf26/PHF15/FGF10/FGF12/SESN3/HOXB8/ARID4A/TRIM8/NRG1/TSC22D3	44
HP1SITEFACTOR	HP1SITEFACTOR	HP1SITEFACTOR	32/388	230/12383	1.10100502039841e-12	1.73958793222949e-11	2.16337828569513e-12	HHEX/DRD3/TFAP4/SOX4/CNTFR/MEIS1/TFDP2/FLJ45983/DSEL/FOXP2/GPC3/POU4F1/DLG2/MBNL1/CHD2/POU2F1/ZNF827/GRHL3/CITED2/STAG2/DMD/C11orf92/ESRRG/PROK2/ANKRD28/IGF1/C15orf26/ZIC1/CRYGD/CACNA2D3/UBXN10/IP6K2	32
NKX61	NKX61	NKX61	32/388	236/12383	2.24549276452036e-12	3.32613615744579e-11	4.13643403990594e-12	GATA3/SATB2/FGFR2/SOX5/SOX4/FLJ45983/NEUROG1/FOXP2/SALL3/SSBP3/CHD2/PHOX2B/CNTLN/PDGFRA/ARX/HESX1/BAI3/ESRRG/ARHGAP44/MAP2/RAB5B/FAM83F/KCNIP2/NR2F1/MYF6/PDZRN4/MID1/FGF12/SESN3/HOXB8/ZIC4/TRIM8	32
NKX3A	NKX3A	NKX3A	32/388	237/12383	2.52275822046538e-12	3.43266154999577e-11	4.26891065511355e-12	SOX5/HOXA2/HOXA3/FLJ45983/FOXP2/HOXB2/PAX6/DLG2/MBNL1/POU2F1/WT1-AS/PHOX2B/ZNF238/DENND4A/ARX/DMD/ZNF521/GPR85/ZNF710/NR2F1/FOXO4/PART1/MYF6/PDZRN4/MID1/PHF15/ZIC1/ASB4/ZIC4/UBXN10/PTH1R/NRG1	32
TAL1ALPHAE47	TAL1ALPHAE47	TAL1ALPHAE47	33/388	252/12383	2.6788747929398e-12	3.43266154999577e-11	4.26891065511355e-12	ATOH7/DDIT3/TFAP4/TFDP2/FOXP1/FOXP2/LTBP1/DDAH2/STAG2/STAG1/PHOX2B/STC2/GLDN/NAV3/ZNF238/OMA1/HEXIM2/DMD/KCNQ1DN/ARSG/SEMA6D/MAP2/ZNF710/FMNL3/RAB30/TP53INP2/PDGFB/ASB4/C17orf28/ITGA8/PHEX/NXPH4/UBXN10	33
HOXA4	HOXA4	HOXA4	34/388	267/12383	2.75192276159998e-12	3.43266154999577e-11	4.26891065511355e-12	SOX5/SESN2/FOXP2/GPC3/DLG2/OTX2/POU2F1/ZNF827/LTBP1/WT1-AS/STAG2/PHOX2B/ZNF238/DMD/NUP54/IL1RAPL1/KLF5/NTRK2/MAP2/ZNF654/NR2F1/PART1/PDZRN4/BAMBI/ZIC1/FSIP2/RBMS3/ARID1A/ASB4/DNAJA2/HOXB8/ZIC4/DNAJB4/PHC2	34
HFH1	HFH1	HFH1	32/388	243/12383	5.00446816498518e-12	5.93029477550744e-11	7.37500571682027e-12	SATB2/HHEX/MRPS18B/NTN1/FOXP2/SALL3/CACNA1D/DLG2/SSBP3/OTX2/FST/CITED2/FAM49A/STAG2/PMCH/EMX2/ZNF238/PPP2R3A/HESX1/DMD/HOXA10/LHX9/SEMA6D/ANKRD28/BUB3/CSRNP3/PDZRN4/POU2AF1/HOXB8/PHEX/TRIM8/IP6K2	32
SMAD3	SMAD3	SMAD3	31/388	239/12383	1.62894012440173e-11	1.83837528325338e-10	2.28623175354628e-11	LOX/CNTFR/MEIS1/TFDP2/SKIL/ATXN7L1/FOXP1/GPC3/POU4F1/SSBP3/OTX2/CHD2/PIK3R3/C11orf87/EBF1/LTBP1/PDLIM2/BTBD3/CACNB2/ESRRG/MAP2/ZNF654/RUFY3/PHF15/BAMBI/APBB2/ARID1A/SIPA1/CRAT/NXPH4/CLTC	31
SRY	SRY	SRY	43/388	435/12383	1.8925231777881e-11	2.03876360516263e-10	2.53543775014673e-11	FGFR2/TFAP4/SOX5/SESN2/FN1/FOXP2/SALL3/MYLK/PAX6/POU4F1/DLG2/EBF1/EFNA1/FST/GRIN2B/STAG2/EMX2/NAV3/PCF11/ZNF238/NDNF/MYO18A/HESX1/LHX9/MAML1/ESRRG/EPHA7/KCNQ1DN/H3F3A/CCNJ/GNAQ/FOXO4/BCL9/CSRNP3/PDZRN4/C11orf84/BAMBI/LRP5/MLL/VDR/LRRN4CL/TRIM8/TSC22D3	43
HFH4	HFH4	HFH4	40/388	390/12383	3.23955522568387e-11	3.33815038472642e-10	4.15137511758116e-11	LRRC3B/DRD3/HOXA3/ATXN7L1/NTN1/FOXP2/OMG/CACNA1D/MGLL/OTX2/EFNA1/CITED2/FAM49A/STAG2/PHOX2B/PMCH/NAV3/PDGFRA/HESX1/DMD/HOXA10/BAI3/LHX9/ESRRG/PCDH17/GPR85/PAPD5/LENG9/BUB3/PDZRN4/BAMBI/KLHL3/ATOH8/RNF146/SMARCA2/HOXB8/PHEX/TRIM8/NRG1/IP6K2	40
GATA4	GATA4	GATA4	31/388	249/12383	4.74576679691782e-11	4.68644471195635e-10	5.82813466288154e-11	MRPS18B/SOX5/MEIS1/GPR21/HOXA3/TFDP2/FOXP2/HOXB2/GPC6/DLG2/SSBP3/OTX2/MBNL1/EBF1/FST/STAG2/PCF11/ZNF238/SRSF8/DMD/PLAGL2/ESRRG/ZNF521/ZNF654/LENG9/ANKRD28/CAPN1/PHF15/ZIC1/PCYT1B/ZIC4	31
FOXJ2	FOXJ2	FOXJ2	40/388	398/12383	6.06790448686734e-11	5.75237345355024e-10	7.15374002662255e-11	SATB2/DRD3/ATXN7L1/NTN1/FOXP1/FOXP2/PAX6/MGLL/OTX2/CHD2/LTBP1/PLEC/FAM49A/GRIN2B/CNTLN/PCF11/ZNF238/DAAM1/HESX1/DMD/HOXA10/BAI3/C11orf92/ESRRG/PCDH17/ARSG/TRPS1/MAP2/RAB5B/NR2F1/HPSE2/BUB3/CSRNP3/BAMBI/FSIP2/SPTLC2/SIPA1/PCYT1B/PHF6/NRG1	40
FAC1	FAC1	FAC1	29/388	222/12383	6.33252344802121e-11	5.77233868146549e-10	7.17856909087425e-11	SOX5/FOXP1/SALL3/HOXB6/CACNA1D/DLG2/OTX2/PIK3R3/EFNA1/STAG2/NAV3/IL1RAPL1/KCNQ1DN/NTRK2/H3F3A/NR2F1/SRGAP2/FOXO4/RUFY3/CSNK1A1/IGF1/LRP5/FGF12/ZIC1/GDNF/SMARCA2/HOXB8/ZIC4/PHEX	29
FOXO3	FOXO3	FOXO3	30/388	245/12383	1.49340126150586e-10	1.31087444065514e-09	1.63022359930464e-10	TFAP4/NTN1/FOXP2/SALL3/PAX6/OTX2/MBNL1/CHD2/EFNA1/AQP2/CITED2/STC2/PMCH/COLEC10/ZNF238/LHX9/IL1RAPL1/ZNF521/PCDH18/BUB3/CSRNP3/PDZRN4/PHF15/LRP5/FGF12/HOXB8/NDST4/ARID4A/TRIM8/NRG1	30
HNF6	HNF6	HNF6	29/388	234/12383	2.2878580782534e-10	1.93650844480734e-09	2.40827166131937e-10	SOX4/HOXA3/NEUROG1/IGF2BP1/OTX2/MBNL1/S100PBP/CHD2/POU2F1/ZNF827/PHOX2B/PDGFRA/DAAM1/PFN2/BAI3/IL1RAPL1/PCDH17/GPR85/FAM83F/ANKRD28/PDZRN4/TTC17/BAMBI/ZIC1/SIPA1/CACNA2D3/ZIC4/NDST4/NRG1	29
CDP	CDP	CDP	26/388	193/12383	3.2167393075561e-10	2.62885246858895e-09	3.26928132891364e-10	LSAMP/MEIS1/HOXA2/HOXA3/ATXN7L1/MBNL1/CHD2/POU2F1/STAG2/CNTLN/ZNF238/IL1RAPL1/C11orf92/ESRRG/GNAQ/DGKB/PDZRN4/FGF12/TMSL6/TMSL3/TMSB4XP1/CACNA2D3/HOXB8/MYH10/NDST4/PHC2	26
CEBPB	CEBPB	CEBPB	43/388	477/12383	3.67188899349554e-10	2.90079230486148e-09	3.6074698883465e-10	PCTP/DDIT3/NFE2L2/SOX5/CEPT1/FBXW7/TFDP2/FOXP1/FOXP2/DLG2/ESR1/MBNL1/S100PBP/PRDM16/CHD2/FST/PHOX2B/STC2/PCF11/ZNF238/PDGFRA/DENND4A/SIRPA/ERBB4/CACNB2/HEXIM2/PFN2/DMD/KLF5/EPHA7/GPR85/PHF15/PDGFB/ZIC1/FSIP2/SPTLC2/SMARCA2/HOXA5/GABRA3/BMX/ZIC4/DYRK1A/IP6K2	43
CART1	CART1	CART1	28/388	226/12383	4.7614416189033e-10	3.59982045938063e-09	4.47679204364458e-10	SOX5/SOX4/HOXA3/FOXP2/SALL3/HOXB6/DLG2/OTX2/CHD2/POU2F1/PHOX2B/MYH1/CNTLN/PCF11/ZNF238/ROR1/PDGFRA/HESX1/ESRRG/EPHA7/GPR85/HSD3B7/HPSE2/PDZRN4/MID1/BAMBI/SMARCA2/HOXA5	28
DBP	DBP	DBP	30/388	257/12383	4.86051707595697e-10	3.59982045938063e-09	4.47679204364458e-10	OLIG2/DRD3/SOX4/HOXA2/FBXW7/HOXA3/TFDP2/GPRIN3/FOXP2/MYLK/GPC6/DLG2/OTX2/MBNL1/PPP2R2A/GRIN2B/BTBD3/ITGA10/DMD/IL1RAPL1/PCDH17/EPHA7/ARHGAP44/SORBS2/MID1/SMARCA2/SNX9/TSSK3/SOX21/ARID4A	30
POU3F2	POU3F2	POU3F2	35/388	341/12383	5.82718649970072e-10	4.18497939523961e-09	5.20450468872792e-10	LOX/SOX4/GPR21/HOXA3/NEUROG1/FOXP1/FOXP2/SALL3/HOXB6/OTX2/HEPACAM/CHD2/POU2F1/ZNF827/LIPG/PHOX2B/STRN4/ADD3/BAI3/IL1RAPL1/EPHA7/MAP2/GPR85/PAPD5/HSD3B7/CSRNP3/PDZRN4/FSIP2/SMARCA2/TSSK3/FKRP/HOXB8/ZIC4/PHF6/PHC2	35
IPF1	IPF1	IPF1	30/388	260/12383	6.45158693562251e-10	4.49713559924275e-09	5.59270694109691e-10	LOX/ATOH7/MRPS18B/SOX4/SESN2/SALL3/OTX2/MBNL1/PPP2R2A/ZNF827/EPC1/PHOX2B/SRSF8/PPP2R3A/HESX1/DMD/C11orf92/SEMA6D/GPR85/RAB5C/PAPD5/CSRNP3/ZIC1/GDNF/SMARCA2/SIPA1/HOXB8/ZIC4/DYRK1A/IP6K2	30
P300	P300	P300	29/388	249/12383	1.009550094657e-09	6.83609635524883e-09	8.5014744813221e-10	HOXA2/NEUROG1/FOXP1/GPC3/DDAH2/STAG2/ZNF238/NDNF/OMA1/CACNB2/BCL2L1/DMD/ESRRG/KCNQ1DN/ZMAT3/NR2F1/KIAA0182/PPP3CA/C15orf26/FGF12/ZIC1/GDNF/MLL/MTA2/FGFR1/ZIC4/NXPH4/GGNBP2/TSC22D3	29
NKX22	NKX22	NKX22	25/388	190/12383	1.17631177174171e-09	7.74405249729956e-09	9.63062269262215e-10	HHEX/FBXW7/HOXA3/GPRIN3/FOXP1/FOXP2/SALL3/DLG2/ESR1/STAG2/PHOX2B/PMCH/ZNF238/DMD/BAI3/ESRRG/PCDH17/ZNF654/KIAA0182/HPSE2/CSRNP3/PDZRN4/C15orf26/BAMBI/ASB4	25
GFI1	GFI1	GFI1	42/388	485/12383	2.02736204132998e-09	1.29860757782488e-08	1.61496834017751e-09	LSAMP/SOX5/SOX4/MEIS1/HOXA2/HOXA3/PRIMA1/FN1/FOXP2/HOXB6/DLG2/ESR1/MBNL1/PPP2R2A/POU2F1/EBF1/ZNF503/LHFP/ADD3/CACNB2/ITGA10/DMD/EGFLAM/HOXA10/BAI3/ESRRG/ZNF521/ICAM4/BCL9/MID1/RAB30/ZIC1/GDNF/KLHL3/ASB4/HOXA5/HOXB8/ZIC4/DNAJB4/MYH10/PHC2/IP6K2	42
PBX1	PBX1	PBX1	34/388	344/12383	2.78550521116415e-09	1.73727561854185e-08	2.16050265685862e-09	HHEX/MRPS18B/HOXA2/HOXA3/TFDP2/HOXB2/SHC3/DLG2/OTX2/MBNL1/CHD2/LTBP1/FAM49A/STAG2/CNTLN/EMX2/ZNF503/ZNF238/ERBB4/DMD/IL1RAPL1/ARSG/BCL9/MYF6/CSRNP3/PDZRN4/PHF15/ZIC1/MLL/CACNA2D3/HOXB8/ZIC4/NDST4/IP6K2	34
NFAT	NFAT	NFAT	28/388	246/12383	3.33646131620011e-09	2.02754187676776e-08	2.52148223626459e-09	SPARCL1/SOX5/CNTFR/HOXA2/TFDP2/FOXP1/FOXP2/TRPM3/SSBP3/S100PBP/GRHL3/PHOX2B/ZNF238/EGFLAM/ESRRB/TRPS1/ZNF654/ANKRD28/HSD3B7/PDGFB/ZIC1/KLHL3/RBMS3/MLL/ZIC4/PHF6/SOX21/IP6K2	28
OSF2	OSF2	OSF2	29/388	264/12383	3.95488923934922e-09	2.34327187431441e-08	2.91412891320469e-09	AFF4/HOXB6/OMG/PAX1/POU2F1/PIK3R3/DPYSL5/GRHL3/FST/STAG1/STC2/ZNF238/NDNF/SRSF8/ITGA10/IL1RAPL1/ZNF654/PROK2/SLC26A6/RUFY3/FGF10/ZIC1/FGFR1/HOXA5/CACNA2D3/ZIC4/PHF6/APOBR/TSC22D3	29
FREAC3	FREAC3	FREAC3	28/388	251/12383	5.24672983796868e-09	3.03286578438677e-08	3.77171849712768e-09	MRPS18B/TFAP4/HOXA2/HOXA3/ATXN7L1/NEUROG1/NTN1/FOXP2/OTX2/POU2F1/CITED2/PHOX2B/NAV3/PCF11/HOXA10/LHX9/ESRRG/ZNF521/KIAA0182/ANKRD28/BUB3/BCL9/PHF15/BAMBI/ATOH8/ARID4A/TRIM8/NRG1	28
POU1F1	POU1F1	POU1F1	27/388	238/12383	6.89888020416150e-09	3.89293954377684e-08	4.84131944151684e-09	SOX4/FBXW7/SKIL/PRIMA1/FOXP2/SALL3/CACNA1D/GPC3/OTX2/SAMD12/POU2F1/PIK3R3/PHOX2B/PCF11/ZNF238/HESX1/DMD/ESRRG/TRPS1/MAP2/FOXO4/PDZRN4/FGF12/ZIC1/SESN3/HOXA5/ZIC4	27
TEF	TEF	TEF	28/388	255/12383	7.46895861659272e-09	4.0704511738419e-08	5.06207563258154e-09	LOX/MRPS18B/SOX4/TFDP2/FOXP1/SALL3/HOXB2/CACNA1D/PAX6/DLG2/S100PBP/PHOX2B/EMX2/PCF11/MAP2/RAB5B/LENG9/BUB3/IGF1/LRP5/LMO7/FGF12/CRYGD/DSCAML1/TSSK3/HOXB8/TRIM8/IP6K2	28
TITF1	TITF1	TITF1	27/388	239/12383	7.55695576578244e-09	4.0704511738419e-08	5.06207563258154e-09	HHEX/SOX5/TFDP2/GPRIN3/NEUROG1/FOXP1/PAX6/MGLL/TRPM3/SSBP3/OTX2/POU2F1/PDGFRA/PPP2R5E/ADD3/PXN/ARX/DMD/IL1RAPL1/PLAGL2/JPH1/MID1/PHF15/SMARCA2/CACNA2D3/ZIC4/UBXN10	27
NKX25	NKX25	NKX25	35/388	378/12383	8.91790043818445e-09	4.69676089744381e-08	5.84096402968806e-09	FBXW7/HOXA3/NEUROG1/FOXP2/HOXB6/PAX6/POU2F1/EBF1/LTBP1/CITED2/COL12A1/STAG2/LRRC4/STC2/HESX1/DMD/KLF5/ESRRG/PCDH17/NTRK2/RAB5B/SORBS2/ZNF654/JPH1/CER1/HPSE2/BCL9/CSRNP3/PDZRN4/FGF10/CACNA2D3/ZIC4/PHEX/DNAJB4/UBXN10	35
SRF	SRF	SRF	35/388	379/12383	9.54758077307504e-09	4.91907965917127e-08	6.11744305826318e-09	MEIS1/HOXA3/FOXP1/FOXP2/MYLK/DSTN/DLG2/MBNL1/CHD2/ACTB/GRHL3/LTBP1/SCN3B/FST/AQP2/CITED2/STAG2/PHOX2B/PRELP/PPP2R3A/DMD/H3F3A/NR2F1/DHH/IGF1/ATP1A2/MID1/RAB30/LRP5/KLHL3/ASPH/COL1A2/SIPA1/HOXA5/DNAJB4	35
AFP1	AFP1	AFP1	28/388	264/12383	1.60788403426849e-08	8.10784076854536e-08	1.00830353772716e-08	SATB2/SOX4/ATXN7L1/FOXP1/ESR1/GRHL3/GRIN2B/PHOX2B/ZNF238/PDGFRA/SRSF8/IL1RAPL1/PLAGL2/HGF/EPHA7/ZNF654/NR2F1/ANKRD28/PART1/PDZRN4/FGF12/ZIC1/SIPA1/DSCAML1/SESN3/FOXA1/CACNA2D3/ZIC4	28
P53	P53	P53	27/388	254/12383	2.78796675864639e-08	1.37655858708166e-07	1.71190941320392e-08	DDIT3/SOX5/SOX4/TFDP2/DSEL/DNAJB5/OTX2/MBNL1/S100PBP/MYH1/CACNB2/DMD/NUP54/ESRRG/FOXG1/ARHGAP44/H3F3A/HIP1R/ZMAT3/ZNF654/PPP2R4/MTA2/DSCAML1/CRAT/NXPH4/PTH1R/NRG1	27
GATA	GATA	GATA	40/388	493/12383	3.15258324046869e-08	1.52482087345118e-07	1.89629067095861e-08	SOX5/HOXA3/FOXP2/HOXB6/TRPM3/S100PBP/ZFPM1/AQP2/CNTLN/PCF11/PDGFRA/MYO18A/ADD3/PPP2R3A/DMD/PLAGL2/ESRRG/TRPS1/H3F3A/JPH1/NR2F1/ICAM4/KIAA0182/FOXO4/HPSE2/BCL9/MID1/CAPN1/C15orf26/ZIC1/RBMS3/SLC4A1/S1PR2/MTA2/CACNA2D3/ZIC4/DYRK1A/PHEX/MYH10/TSC22D3	40
SREBP	SREBP	SREBP	27/388	258/12383	3.87721854372002e-08	1.83780158972329e-07	2.28551829945601e-08	MRPS18B/HOXB2/CACNA1D/DNAJB5/DLG2/OTX2/EMX2/PRELP/PCF11/ZNF238/ADD3/HOXA10/ZNF710/STAC3/KIAA0182/PAPD5/KANK2/DHH/MID1/RAB30/PHF15/SIPA1/C17orf28/ZIC4/UBXN10/GGNBP2/IP6K2	27
ALPHACP1	ALPHACP1	ALPHACP1	27/388	260/12383	4.55987821825695e-08	2.11900223083705e-07	2.63522373810515e-08	OLIG2/MRPS18B/SESN2/MEIS1/HOXA2/PAX1/GPC3/SHC3/SSBP3/OTX2/GRHL3/C14orf1/ZFP91/PCF11/FIZ1/NEK2/HOXA10/ESRRB/ZNF524/DDX4/SORBS2/ICAM4/MID1/USP1/ARID4A/GGNBP2/TSC22D3	27
MYB	MYB	MYB	35/388	408/12383	6.17838514642586e-08	2.81591784558255e-07	3.5019187064762e-08	DSCAM/DDIT3/HHEX/SOX5/SESN2/HOXA3/FOXP1/OMG/MGLL/HEPACAM/PRDM16/PIK3R3/LTBP1/SCN3B/CITED2/COL12A1/STC2/TMEM27/MYO18A/SRSF8/CACNB2/PFN2/DMD/KLF5/ESRRG/ANKRD28/SRGAP2/CAPZA1/FGF12/S1PR2/MLL/SESN3/C12orf65/ST7L/HOXB8	35
SOX5	SOX5	SOX5	27/388	265/12383	6.78712217183275e-08	3.03499614098936e-07	3.77436784133698e-08	SATB2/HHEX/NFE2L2/FGFR2/SOX5/HOXA2/TFDP2/FOXP2/SALL3/MYLK/POU4F1/DLG2/EBF1/FST/STAG2/ZNF238/NDNF/DENND4A/ERBB4/HESX1/ESRRG/FMNL3/CCNJ/ANKRD28/PDZRN4/TTC17/TSC22D3	27
