Cluster	eval(parse(text = group))	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Glycyrrhizic.acid	Glycyrrhizic	hsa04014	Ras signaling pathway	34/659	232/8111	0.000504571025214438	0.0141279887060043	0.0121193614668731	ABL2/ANGPT4/EFNA3/ETS1/FASLG/FGF1/FGF16/FGF17/FGF21/FLT3/GNG11/GNG13/INS/MRAS/NGFR/NTF3/PAK3/PDGFB/PDGFD/PDGFRA/PLA1A/PLA2G12A/PLA2G1B/PLA2G2A/PLA2G3/PLA2G5/PLCE1/PRKACG/PRKCG/RAC2/STK4/TEK/TGFA/ZAP70	34
Glycyrrhizic.acid	Glycyrrhizic	hsa05321	Inflammatory bowel disease	14/659	65/8111	0.000588274020094298	0.0150990331824203	0.0129523490389183	HLA-DQA1/HLA-DRA/IL12A/IL12B/IL12RB1/IL13/IL18RAP/IL2/IL21/IL21R/IL22/IL2RG/IL5/MAF	14
Glycyrrhizic.acid	Glycyrrhizic	hsa05340	Primary immunodeficiency	10/659	38/8111	0.000681851275832854	0.0161546302274245	0.0138578680351455	CD19/CD79A/ICOS/IGLL1/IL2RG/IL7R/RAG1/RFXAP/TAP2/ZAP70	10
Glycyrrhizic.acid	Glycyrrhizic	hsa00590	Arachidonic acid metabolism	13/659	61/8111	0.00101697710412368	0.0223734962907211	0.0191925754236876	ALOX12/ALOX15B/CYP2C19/CYP2U1/GPX1/LTC4S/PLA2G12A/PLA2G1B/PLA2G2A/PLA2G3/PLA2G5/PTGS2/TBXAS1	13
Glycyrrhizic.acid	Glycyrrhizic	hsa04920	Adipocytokine signaling pathway	14/659	69/8111	0.00110120760300149	0.0226114627816307	0.0193967093581316	ACSBG1/ACSBG2/ACSL5/AGRP/G6PC/LEP/PCK1/POMC/PPARGC1A/PRKAA2/PRKCQ/RXRB/RXRG/SLC2A4	14
Glycyrrhizic.acid	Glycyrrhizic	hsa04972	Pancreatic secretion	18/659	102/8111	0.00130169738096782	0.0250576745836306	0.0214951343830871	ATP1B2/CCKAR/CELA3A/CHRM3/CPA3/CPB1/CPB2/FXYD2/PLA2G12A/PLA2G1B/PLA2G2A/PLA2G3/PLA2G5/PNLIPRP2/PRKCG/SCTR/SLC26A3/SLC4A4	18
Glycyrrhizic.acid	Glycyrrhizic	hsa04024	cAMP signaling pathway	31/659	219/8111	0.00156677823334966	0.0283863350512762	0.0243505471560845	ADRB1/ATP1B2/CACNA1C/CACNA1D/CAMK2A/CGA/CHRM2/CREB3L1/DRD1/DRD5/FSHR/FXYD1/FXYD2/GCG/GLI1/GRIA2/GRIA4/HCN4/HTR1A/HTR1F/HTR4/NPY1R/OXT/PDE10A/PLCE1/POMC/PRKACG/RAC2/SSTR2/SSTR5/VIP	31
Glycyrrhizic.acid	Glycyrrhizic	hsa04975	Fat digestion and absorption	10/659	43/8111	0.0019097147372154	0.032677341059019	0.0280314853240389	APOB/FABP2/LIPF/MOGAT2/PLA2G12A/PLA2G1B/PLA2G2A/PLA2G3/PLA2G5/PNLIPRP2	10
Glycyrrhizic.acid	Glycyrrhizic	hsa04925	Aldosterone synthesis and secretion	17/659	98/8111	0.00212614280813028	0.0344658939423224	0.0295657531767701	ATP1B2/CACNA1C/CACNA1D/CACNA1I/CAMK1/CAMK1D/CAMK1G/CAMK2A/CREB3L1/CYP11A1/HSD3B2/KCNK3/POMC/PRKACG/PRKCE/PRKCG/STAR	17
Glycyrrhizic.acid	Glycyrrhizic	hsa05320	Autoimmune thyroid disease	11/659	53/8111	0.00304095936043628	0.0468307741507186	0.0401726736562898	CGA/FASLG/HLA-DQA1/HLA-DRA/IFNA14/IFNA17/IFNA2/IFNA21/IL2/IL5/TG	11
Glycyrrhizic.acid	Glycyrrhizic	hsa05146	Amoebiasis	17/659	102/8111	0.00328980635242774	0.0482504931689402	0.0413905460881887	ARG1/C9/CD14/CD1C/COL4A4/CXCL1/CXCL3/IL12A/IL12B/LAMA1/LAMB1/LAMC2/MUC2/PRKACG/PRKCG/SERPINB3/SERPINB4	17
Anhydroicaritin	Anhydroicaritin	hsa04211	Longevity regulating pathway	20/643	89/8111	1.53816535183809e-05	0.00492212912588188	0.00399922991477903	ADCY3/ADCY7/ATF2/BAX/CAT/CREB1/CREB3L1/CREB3L2/FOXO1/INSR/KRAS/NFKB1/PIK3R1/PRKACB/PRKAG1/RHEB/RPS6KB1/SESN1/TP53/ULK1	20
Anhydroicaritin	Anhydroicaritin	hsa04115	p53 signaling pathway	16/643	73/8111	0.000148009549917667	0.0236815279868266	0.0192412414892967	APAF1/BAX/CCNB1/CCNE1/CCNG1/CDK6/CDKN2A/GADD45G/GTSE1/MDM4/SERPINB5/SERPINE1/SESN1/SFN/THBS1/TP53	16
Anhydroicaritin	Anhydroicaritin	hsa04610	Complement and coagulation cascades	17/643	85/8111	0.000300713784337354	0.0320761369959844	0.0260618613092373	BDKRB1/BDKRB2/C1QB/C1S/C9/CD59/CFHR2/F11/F13A1/ITGAM/PROCR/SERPINA1/SERPINA5/SERPINB2/SERPINE1/SERPING1/VWF	17
Anhydroicaritin	Anhydroicaritin	hsa04540	Gap junction	17/643	88/8111	0.000461452534271705	0.0369162027417364	0.0299944147276609	ADCY3/ADCY7/ADRB1/GJD2/GRM1/HTR2B/HTR2C/ITPR2/KRAS/MAP2K5/PDGFC/PRKACB/PRKCG/PRKG2/RAF1/TUBA1C/TUBB1	17
Anhydroicaritin	Anhydroicaritin	hsa05222	Small cell lung cancer	17/643	92/8111	0.000787111343349094	0.0423804766318707	0.0344341372633949	APAF1/BAX/CCNE1/CDK6/FN1/GADD45G/ITGA6/LAMA1/LAMB2/LAMC2/MAX/NFKB1/PIK3R1/RXRB/RXRG/TP53/TRAF6	17
Anhydroicaritin	Anhydroicaritin	hsa05165	Human papillomavirus infection	43/643	331/8111	0.000794633936847576	0.0423804766318707	0.0344341372633949	ATP6V1C1/ATP6V1E1/ATP6V1G2/BAX/CCNE1/CDK6/CHD4/COL1A1/CREB1/CREB3L1/CREB3L2/DLG3/FADD/FN1/FOXO1/FZD4/IFNA2/ITGA6/ITGB8/KRAS/LAMA1/LAMB2/LAMC2/MAGI1/MFNG/NFKB1/NOTCH1/NOTCH2/PIK3R1/PKM/PPP2R1B/PPP2R5A/PPP2R5B/PRKACB/PSMC1/RAF1/RHEB/RPS6KB1/TADA3/TERT/THBS1/TP53/VWF	43
Anhydroicaritin	Anhydroicaritin	hsa04151	PI3K-Akt signaling pathway	45/643	354/8111	0.000959500114633482	0.0438628623832449	0.0356385756863865	ANGPT4/ATF2/CCNE1/CD19/CDK6/COL1A1/CREB1/CREB3L1/CREB3L2/CSF3R/EFNA5/FGF17/FGF5/FGFR2/FN1/G6PC3/GNB2/GNG11/IFNA2/IL2RA/IL3/INSR/ITGA6/ITGB8/KDR/KRAS/LAMA1/LAMB2/LAMC2/MAGI1/MLST8/NFKB1/PDGFC/PIK3R1/PPP2R1B/PPP2R5A/PPP2R5B/PRLR/RAF1/RHEB/RPS6KB1/SYK/THBS1/TP53/VWF	45
Hesperidin	Hesperidin	hsa05169	Epstein-Barr virus infection	36/666	202/8111	6.35386562188662e-06	0.00203959086462561	0.00171219957810839	ADRM1/APAF1/B2M/BAX/BTK/CCNA1/CDK6/CDKN1A/CDKN1B/CHUK/ENTPD3/HLA-DPA1/HLA-DPB1/HLA-DQB1/IFNA17/IFNA21/IKBKE/IRAK1/ITGAL/MAPK10/MAPK11/MYC/NFKB1/OAS1/OAS2/PDIA3/PLCG2/PSMD14/PSMD4/PSMD8/RB1/TAB1/TAP2/TNF/TP53/TRAF6	36
Hesperidin	Hesperidin	hsa05222	Small cell lung cancer	19/666	92/8111	0.000137277778160345	0.0220330833947354	0.0184963743205518	APAF1/BAX/CDK6/CDKN1A/CDKN1B/CHUK/COL4A4/ITGA6/LAMB2/LAMC2/MYC/NFKB1/RARB/RB1/RXRB/RXRG/TP53/TRAF6/XIAP	19
Hesperidin	Hesperidin	hsa05215	Prostate cancer	19/666	97/8111	0.000283757966099902	0.0276573830079093	0.0232178719463019	CDKN1A/CDKN1B/CHUK/CREB3L1/CREB3L2/EGFR/ERG/GSK3B/HSP90AB1/MMP3/NFKB1/NKX3-1/PDGFC/PDGFRA/RB1/SPINT1/SRD5A2/TGFA/TP53	19
Hesperidin	Hesperidin	hsa05163	Human cytomegalovirus infection	34/666	225/8111	0.000344640286702919	0.0276573830079093	0.0232178719463019	ADCY3/B2M/BAX/CDK6/CDKN1A/CHUK/CREB3L1/CREB3L2/CXCR4/EGFR/GNAI3/GNG4/GNG7/GSK3B/IFNA17/IFNA21/IL10RB/ITGB3/MAPK11/MYC/NFKB1/PDGFRA/PDIA3/PLCB4/PRKACB/PRKCG/RAC2/RB1/RHEB/RHOA/TAP2/TNF/TP53/TSC2	34
Hesperidin	Hesperidin	hsa05132	Salmonella infection	36/666	249/8111	0.000552882350190186	0.03549504688221	0.0297974487681448	ABI1/ACBD3/ACTR3B/AHNAK/ANXA2/ARL8B/ARPC1B/ARPC3/ARPC5L/BAX/CHUK/DCTN5/DYNC1LI1/DYNC1LI2/DYNLRB1/ELMO2/GAPDH/HSP90AB1/IRAK1/KPNA3/MAPK10/MAPK11/MYC/NFKB1/PIK3C2A/PIK3CG/PTPRC/RAB5B/RHOA/TAB1/TNF/TRAF6/TUBA8/VPS16/VPS33A/VPS39	36
Hesperidin	Hesperidin	hsa04142	Lysosome	22/666	128/8111	0.000666407140077751	0.0356527819941597	0.0299298645368253	AP4E1/AP4M1/ATP6V0A1/ATP6V0A4/CLN3/DNASE2/ENTPD4/GALC/GGA1/GGA2/GLA/GM2A/HGSNAT/LAMP1/LAMP3/LAPTM4A/LGMN/MAN2B1/MCOLN1/NAGLU/SORT1/SPAM1	22
